Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description
930546020,A,0.65,5,40,3308,210,CUP - OIL
930548140,B,5.92,5,60,12,6,BRKT-CAM FOLL
930550121,B,4.56,5,90,26,12,ARM - LOWER DRE
930550226,B,1.25,5,84,73,25,ADAPTOR-BALL JOINT
930550401,C,15.71,5,56,2,2,PLATE HINGE
930554203,B,4.28,5,70,7,4,PLATE-ADJ FEED(INS)
930557148,B,4.5,5,90,42,17,SHAFT - PUSHER FINGE
930557570,B,1.84,5,49,27,2,PIN-CAM FOLLOWER 3/8
930559175,C,2.85,50,42,2,1,ANGLE-REAR INS (WIDE
930559730,B,3,50,30,17,3,WASHER - FOOT
930561105,B,2,5,49,5,4,PAD-INS GUIDE
9.30561E+11,B,8.36,11,30,5,4,BOTTLE MODIFIED
930565370,A,5.44,5,150,304,126,BRUSH - MOIST
930565540,B,0.07,5,56,79,11,PLATE-SWITCH (ON-OFF
930581224,C,12,50,35,2,1,SHAFT-LOWER ROLLER
930584730,C,1.97,5,49,2,1,PIN-CROSSHEAD
930593038,B,13.45,5,40,12,11,PULLEY-TMG 48XLB037
930596577,C,1.41,5,120,104,2,BRNG-SEP SHAFT
930597053,B,1.07,5,56,56,5,* BANG - BR .750 X .
930597064,B,0.04,5,77,11,5,GROMMET-RUBBER .375
930598437,C,2.43,5,56,1,1,CONTACT ASSY
930598638,B,0.49,5,63,13,3,SET SCREW-#10-32X1.0
930599011,B,3.82,5,70,24,13,SPRKT-DR 35B16 1.0
9.3062E+11,B,6.27,11,120,2,2,HAND FEED GUIDE
9.3071E+11,B,2.59,11,40,4,3,4L290 BELT
93071006700OP,D,0.62,11,120,1,1,* BELT
9.3071E+11,A,8.35,11,30,60,26,FLAT BELT 1 1/2 30 3
9.30821E+11,B,896.32,11,120,5,4,BOARD - DISCOVERY II
9.30821E+11,C,191.59,11,40,7,7,BOARD - INTELL INTER
9.30821E+11,C,407.57,11,40,2,2,* CARD ASSY - FEEDER
930BH5664,C,22.57,33,30,2,1,CASTER
9313412-SU,C,194.42,3,150,1,1,*ROLLER - MAIN
9320454449,C,2.2,15,30,1,1,BELT STACKER ROLLER
93501582A,B,1,10,120,77,17,SYSTEMS RULER (NEW)
93501725A,A,1.5,10,60,2,1,HAND SOAP - HEAVY DU
93600275-01,C,172.48,14,120,1,1,*VACCUUM PUMP
93600605-01,B,0.88,14,30,4,3,KNOB
937000913,B,1.43,31,120,8,4,TENSION SPRING (END
937002067,D,73.01,6,90,2,1,CARD ASSY - A/C DR.
937002964,D,65,35,40,2,2,* SPRING-NOZZLE
937014795,C,12.21,1,150,3,1,SCREW
937019789,C,3.39,1,120,7,2,ROD END-R H
937100521,B,15.57,1,40,12,8,ROD END
9.3829E+11,D,18.01,11,40,1,1,BOOT FLOPPY
9.38295E+11,D,110.33,11,30,1,1,CARTRIDGE
9.38295E+11,D,110.33,11,120,1,1,CARTRIDGE STAR BANK
9.39931E+11,C,1230,25,120,2,2,DRIVER BOARD P/H
9.39931E+11,B,4.85,25,150,2,2,FILTER AIR VENT
93E110187,C,30.78,5,42,1,1,CARD ASSY-MOTHER
93E450935,C,6.34,50,42,1,1,ANGLE-REAR
93E7430125,B,16.15,26,30,17,4,STOP-SHEET
93E7431442,B,9.69,26,40,19,11,GEAR-TRANSFER
93E7431516,B,14.01,26,120,10,8,PULLEY
93E8251159,B,0.2,5,105,5,2,PLUG-CONN(CPC)#3+#4
93E8251652,B,11.66,5,105,4,4,* SENSOR ASSY - GR A
93H200027,B,3.61,17,150,3,2,RIBBON SPOOL GEAR
93TP50083,C,0.01,10,30,1,1,I.R.S. SHEET FEEDER
