,Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description,Purchase Volume,Daily Demand,theta,r,mil,Q,Order Frequency,Order Interval,Service Level,Fill Rate,Backorder Level,Inventory Level,I Investment,Implied A/i_h,Implied C_s/i_h
69,934501176,A,140.32,6,30,105.0,100,DRIVER - DIGIT,14733.6,0.287671232877,8.6301369863,35.0,53.0,18.0,5.83333333333,62.5714285714,0.9999,1.0,6.61928018142e-14,35.8698630137,5033.25917808,216.493714286,1403059.68
70,934503384,B,1.05,5,120,6.0,4,IC. - HCF4049UBE,6.3,0.0164383561644,1.97260273973,2.0,4.0,2.0,3.0,121.666666667,0.68409158111,0.773062313381,0.140277472381,1.66767473266,1.75105846929,0.35,2.27374807766
71,93501029A,D,191.47,7,120,0.5,0,NO USAGE,95.735,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,162.446314803,191.47,1071.66252955
72,93503703A,D,10.15,8,150,0.5,0,NO USAGE,5.075,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,8.26470678085,10.15,44.4953458559
73,93503764A,D,1.5,8,30,0.5,0,NO USAGE,0.75,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,1.43960564393,1.5,35.7551368417
74,93503997A,D,29.81,7,120,0.5,0,NO USAGE,14.905,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,25.2912970401,29.81,166.84733904
75,93600340-02,C,306.0,14,120,2.0,2,COUNTER BIN BRD,612.0,0.00547945205479,0.657534246575,0.0,2.0,2.0,1.0,365.0,0.518127334945,0.688470568351,0.105068482399,0.947534235823,289.945476162,306.0,329.02253228
76,937000095,D,31.05,29,40,0.5,0,NO USAGE,15.525,0.0013698630137,0.0547945205479,0.0,1.0,1.0,0.5,730.0,0.946679651186,0.946679651186,0.00147417173353,0.946679651186,29.3944031693,31.05,551.279273728
77,937000360,D,6.03,30,30,0.5,0,NO USAGE,3.015,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,5.78721468858,6.03,143.735650104
78,937000920,C,0.34,31,40,4.0,3,WASHER - 0.5MM,1.36,0.0109589041096,0.438356164384,1.0,4.0,3.0,1.33333333333,273.75,0.927877781931,0.972216289001,0.00420607458837,2.5658499102,0.87238896947,0.3825,4.37421996028
79,937002464,D,13.04,39,60,0.5,0,NO USAGE,6.52,0.0013698630137,0.0821917808219,0.0,1.0,1.0,0.5,730.0,0.921095293344,0.921095293344,0.00328707416587,0.921095293344,12.0110826252,13.04,152.222638347
80,937006206,B,47.07,1,30,12.0,6,VALVE VACUUM,564.84,0.0328767123288,0.986301369863,5.0,8.0,3.0,4.0,91.25,0.999446674379,0.999786969127,3.27993404261e-05,6.01373142948,283.066338386,17.65125,85020.3806917
81,937006787,D,60.8,1,30,0.5,0,NO USAGE,30.4,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,58.3520154338,60.8,1449.27487998
82,937014206,D,45.85,1,150,0.5,0,NO USAGE,22.925,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,37.3336754583,45.85,200.996217487
83,937050679,D,0.93,9,120,0.5,0,NO USAGE,0.465,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,0.789027381661,0.93,5.20523399218
84,937106319,D,1.8,1,150,0.5,0,NO USAGE,0.9,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,1.46566228626,1.8,7.89080025031
85,937108216,B,4.33,1,40,1.0,1,FLAT SPRING,4.33,0.0027397260274,0.109589041096,0.0,1.0,1.0,1.0,365.0,0.896202361969,0.896202361969,0.00579140306476,0.896202361969,3.88055622733,2.165,37.3857854662
86,937109386,C,2.19,1,120,0.5,0,NO USAGE,1.095,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,1.85803222133,2.19,12.2574864977
87,937431512,D,216.42,26,120,0.5,0,NO USAGE,108.21,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,183.614307461,216.42,1211.30832321
88,938780159,C,165.21,50,90,0.5,0,NO USAGE,82.605,0.0013698630137,0.123287671233,0.0,1.0,1.0,0.5,730.0,0.884009321928,0.884009321928,0.0072969931607,0.884009321928,146.047180076,165.21,1259.12859984
89,939900001-056,D,0.0,5,120,0.5,0,NO USAGE,0.0,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,0.0,0.0,0.0
90,939900002-039,D,0.02,5,30,0.5,0,NO USAGE,0.01,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,0.019194741919,0.02,0.476735157889
91,939900007-126,E,0.02,40,30,0.5,0,NO USAGE,0.01,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,0.019194741919,0.02,0.476735157889
92,939900014-034,E,0.02,40,30,0.5,0,NO USAGE,0.01,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,0.019194741919,0.02,0.476735157889
93,9.39931E+11,B,1.28,11,150,7.0,2,FUSE,8.96,0.0191780821918,2.87671232877,2.0,5.0,3.0,2.33333333333,156.428571429,0.451370729183,0.653912293223,0.331136250671,1.4544239219,1.86166262004,0.822857142857,1.05308732889
94,9.39932E+11,D,36.08,25,120,2.0,1,* FILTER,72.16,0.00547945205479,0.657534246575,0.0,2.0,2.0,1.0,365.0,0.518127334945,0.688470568351,0.105068482399,0.947534235823,34.1870352285,36.08,38.7945521721
95,9.39932E+11,D,2.72,25,40,0.5,0,NO USAGE,1.36,0.0013698630137,0.0547945205479,0.0,1.0,1.0,0.5,730.0,0.946679651186,0.946679651186,0.00147417173353,0.946679651186,2.57496865122,2.72,48.2924194699
96,93E299185,D,22.32,5,78,0.5,0,NO USAGE,11.16,0.0013698630137,0.106849315068,0.0,1.0,1.0,0.5,730.0,0.898661077471,0.898661077471,0.00551039253974,0.898661077471,20.0581152492,22.32,197.931009612
97,93E312501,B,21.96,5,77,7.0,6,SHAFT-FRT BELT,153.72,0.0191780821918,1.47671232877,2.0,5.0,3.0,2.33333333333,156.428571429,0.814669434304,0.91147155853,0.0377492733939,2.56103694463,56.240371304,14.1171428571,96.5309780936
98,93E319215,C,32.53,5,70,2.0,1,PLATE-STKR FRT,65.06,0.00547945205479,0.383561643836,0.0,2.0,2.0,1.0,365.0,0.681430070791,0.812115289847,0.0363919690775,1.15283032524,37.5015704801,32.53,69.5825882181
99,93E335161,D,34.49,5,42,0.5,0,NO USAGE,17.245,0.0013698630137,0.0575342465753,0.0,1.0,1.0,0.5,730.0,0.944089557999,0.944089557999,0.00162380457395,0.944089557999,32.5616488554,34.49,582.38940151
100,93E335355,D,37.79,5,63,0.5,0,NO USAGE,18.895,0.0013698630137,0.086301369863,0.0,1.0,1.0,0.5,730.0,0.917317737638,0.917317737638,0.00361910750091,0.917317737638,34.6654373053,37.79,419.260870651
101,93E645622,C,89.84,5,106,0.5,0,NO USAGE,44.92,0.0013698630137,0.145205479452,0.0,1.0,1.0,0.5,730.0,0.864844567064,0.864844567064,0.0100500465161,0.864844567064,77.697635905,89.84,574.876157157
102,93E699873,D,14.14,5,112,0.5,0,NO USAGE,7.07,0.0013698630137,0.153424657534,0.0,1.0,1.0,0.5,730.0,0.857765387924,0.857765387924,0.011190045458,0.857765387924,12.1288025852,14.14,85.2732145024
103,93E7431493,B,12.24,26,30,12.0,10,BEARING,146.88,0.0328767123288,0.986301369863,5.0,8.0,3.0,4.0,91.25,0.999446674379,0.999786969127,3.27993404261e-05,6.01373142948,73.6080726968,4.59,22108.5502372
104,93E7431502,C,37.82,26,40,2.0,2,SHAFT,75.64,0.00547945205479,0.219178082192,0.0,2.0,2.0,1.0,365.0,0.803178673599,0.891198254267,0.011965673258,1.29278759107,48.8932266941,37.82,154.333973817
105,93E8251216,D,22.74,5,90,0.5,0,NO USAGE,11.37,0.0013698630137,0.123287671233,0.0,1.0,1.0,0.5,730.0,0.884009321928,0.884009321928,0.0072969931607,0.884009321928,20.1023719806,22.74,173.310237639
106,93E8251431,C,2.59,5,91,2.0,1,BRKT - SUPPT,5.18,0.00547945205479,0.498630136986,0.0,2.0,2.0,1.0,365.0,0.607362092975,0.758786614785,0.0610977982588,1.06246766127,2.7517912427,2.59,4.00640843041
107,93E8251690,D,7.7,5,113,0.5,0,NO USAGE,3.85,0.0013698630137,0.154794520548,0.0,1.0,1.0,0.5,730.0,0.856591171286,0.856591171286,0.0113856918339,0.856591171286,6.5957520189,7.7,45.9926496719
108,93E8253339,A,1.2,50,60,338.0,38,BLOCK - CHAIN JAW,405.6,0.92602739726,55.5616438356,112.0,169.0,57.0,5.9298245614,61.5532544379,0.9999,1.0,2.84899132112e-13,85.4383561644,102.526027397,5.7674556213,11998.8
109,93E845444,B,13.07,5,113,16.0,7,BLOCK ASSY-BRNG,209.12,0.0438356164384,4.95342465753,6.0,11.0,5.0,3.2,114.0625,0.768961629506,0.906454556834,0.0880209833198,4.13459632579,54.039173978,10.2109375,43.5006898471
110,93H200278,D,31.67,21,70,0.5,0,NO USAGE,15.835,0.0013698630137,0.0958904109589,0.0,1.0,1.0,0.5,730.0,0.908563579225,0.908563579225,0.00445399018342,0.908563579225,28.774208554,31.67,314.690889145
111,93H700640,D,74.23,1,150,0.5,0,NO USAGE,37.115,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,60.4422841717,74.23,325.407834767
112,93TP30013,C,0.01,10,40,3.0,3,1530 PARTS CATALOG,0.03,0.00821917808219,0.328767123288,1.0,3.0,2.0,1.5,243.333333333,0.956460692645,0.975911383189,0.0027194771618,2.17395235387,0.0217395235387,0.00666666666667,0.219677516883
113,93TP50018,D,0.01,10,120,0.5,0,NO USAGE,0.005,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,0.0084841653942,0.01,0.0559702579804
